group,group_sub,sub_basin,source_schema_table,source_column_name,column_name_raw,column_name,notes,rank,type,user_input,project_specific,fwapg,weight_low,weight_mid,weight_high,weight_factor,weight_low_notes,weight_mid_notes,weight_high_notes,comments,link1,downstream_route_measure,package_name,url_browser,description,id_package,id_dataset,url_download,col_type_local,col_comments
NA,NA,NA,whse_tantalis.ta_park_ecores_pa_svw,protected_lands_designation,NA,NA,NA,TRUE,NA,NA,NA,NA,0,NA,3,NA,not within proteced lands,NA,within protected lands,NA,NA,NA,bc-parks-ecological-reserves-and-protected-areas,https://catalogue.data.gov.bc.ca/dataset/1130248f-f1a3-4956-8b2e-38d29d3e4af7,"This dataset contains parks and protected areas managed for important conservation values and are dedicated for the preservation of their natural environments for the inspiration, use and enjoyment of the public. Places of special ecological importance are designated as ecological reserves for scientific research and educational purposes. Source data is Tantalis. 
*April 18, 2018: Prior to this date this dataset had one spatial boundary per park per survey plan that intersected the boundary of that park. This resulted in multiple identical boundaries for each park that had more than one survey plan overlapping it’s boundaries. The change aggregated the park data so that there is just one boundary per park with the plan numbers concatenated into a single column where each different plan number is separated by a comma.",1130248f-f1a3-4956-8b2e-38d29d3e4af7,c1bf2c35-3775-4b80-aa06-aa14630132f1,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_PARK_ECORES_PA_SVW/ows?service=WMS&request=GetCapabilities,character,NA
NA,NA,NA,whse_wildlife_management.wcp_fish_sensitive_ws_poly,gazetted_name,NA,NA,NA,TRUE,NA,NA,NA,NA,0,NA,5,NA,Within fisheries sensitive watershed,NA,No within fisheries sensitive watershed,NA,NA,NA,fisheries-sensitive-watersheds,https://catalogue.data.gov.bc.ca/dataset/1a560a12-9be1-49a4-971a-dbc80875a0d7,The dataset contains approved legal boundaries for fisheries sensitive watersheds. A FSW is a mapped area with specific management objectives intended to guide development activities which may adversely impact important fish values,1a560a12-9be1-49a4-971a-dbc80875a0d7,693ea598-c0ad-4cf7-b153-af676043f90c,https://openmaps.gov.bc.ca/geo/pub/WHSE_WILDLIFE_MANAGEMENT.WCP_FISH_SENSITIVE_WS_POLY/ows?service=WMS&request=GetCapabilities,character,"GAZETTED NAME is the name of watercourse legally recognized in the BC Gazette, at the lowest down stream point in the FSW. e.g., Chehischic Creek"
NA,NA,NA,NA,NA,accessibility_distance_from_population_centre,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
values_ecological,NA,NA,NA,NA,brat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
values_ecological,NA,NA,NA,NA,bulkley_falls_above,NA,NA,TRUE,boolean,NA,TRUE,NA,0,NA,3,NA,upstream of falls,NA,downstream of falls,Downstream has higher likelyhood of salmon use,NA,242210,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,citation_1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,citation_2,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,citation_3,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,contact_access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,contact_landowner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
