year,item,link_view,link_download
2024,bulkley-byman-richfield,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/bulkley-byman-richfield/ortho.tif"" target=""_blank"">ortho</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/bulkley-byman-richfield/ortho.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/bulkley-byman-richfield/ortho.tif</a>"
2022,richfield_lower_RC3-2021,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_lower_RC3-2021/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_lower_RC3-2021/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_lower_RC3-2021/odm_orthophoto/odm_orthophoto.tif</a>"
2022,richfield_lower_RC3-2021,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_lower_RC3-2021/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_lower_RC3-2021/odm_dem/dtm.tif</a>"
2022,richfield_lower_RC3-2021,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_lower_RC3-2021/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_lower_RC3-2021/odm_dem/dsm.tif</a>"
2022,bulkley_dickson_BR1-2021_BR2-2021,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/bulkley_dickson_BR1-2021_BR2-2021/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/bulkley_dickson_BR1-2021_BR2-2021/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/bulkley_dickson_BR1-2021_BR2-2021/odm_orthophoto/odm_orthophoto.tif</a>"
2022,bulkley_dickson_BR1-2021_BR2-2021,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/bulkley_dickson_BR1-2021_BR2-2021/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/bulkley_dickson_BR1-2021_BR2-2021/odm_dem/dtm.tif</a>"
2022,bulkley_dickson_BR1-2021_BR2-2021,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/bulkley_dickson_BR1-2021_BR2-2021/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/bulkley_dickson_BR1-2021_BR2-2021/odm_dem/dsm.tif</a>"
2022,richfield_upper_RC1-2021,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_upper_RC1-2021/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_upper_RC1-2021/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_upper_RC1-2021/odm_orthophoto/odm_orthophoto.tif</a>"
2022,richfield_upper_RC1-2021,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_upper_RC1-2021/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_upper_RC1-2021/odm_dem/dtm.tif</a>"
2022,richfield_upper_RC1-2021,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_upper_RC1-2021/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_upper_RC1-2021/odm_dem/dsm.tif</a>"
2022,richfield_sern_2022,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_sern_2022/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_sern_2022/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_sern_2022/odm_orthophoto/odm_orthophoto.tif</a>"
2022,richfield_sern_2022,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_sern_2022/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_sern_2022/odm_dem/dtm.tif</a>"
2022,richfield_sern_2022,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_sern_2022/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2022/richfield_sern_2022/odm_dem/dsm.tif</a>"
